st_nm,state_code,Higher Secondary (11-12),Secondary (9-10),Upper Primary (6-8), Primary (1 to 5),Year,state_code
Andhra Pradesh,28,34,32,26,31,2008-09,28
Arunachal Pradesh,12,29,23,25,22,2008-09,12
Assam,18,27,20,20,30,2008-09,18
Bihar,10,46,56,51,72,2008-09,10
Chhattisgarh,22,28,27,30,38,2008-09,22
Goa,30,21,18,30,26,2008-09,30
Gujarat,24,39,31,35,NA,2008-09,24
Haryana,6,35,44,41,58,2008-09,6
Himachal Pradesh,2,25,33,15,17,2008-09,2
Jammu and Kashmir,1,14,14,14,34,2008-09,1
Jharkhand,20,47,60,55,73,2008-09,20
Karnataka,29,41,25,30,19,2008-09,29
Kerala,32,27,26,26,25,2008-09,32
Madhya Pradesh,23,24,32,33,41,2008-09,23
Maharashtra,27,39,32,32,30,2008-09,27
Manipur,14,23,27,22,33,2008-09,14
Meghalaya,17,18,24,15,47,2008-09,17
Mizoram,15,14,11,8,17,2008-09,15
Nagaland,13,31,24,15,20,2008-09,13
Odisha,21,18,22,34,39,2008-09,21
Punjab,3,33,30,18,39,2008-09,3
Rajasthan,8,28,22,29,44,2008-09,8
Sikkim,11,12,8,14,13,2008-09,11
Tamil Nadu,33,39,38,47,37,2008-09,33
Tripura,16,25,25,18,27,2008-09,16
Uttar Pradesh,9,65,58,77,77,2008-09,9
Uttarakhand,5,24,14,22,23,2008-09,5
West Bengal,19,53,59,55,44,2008-09,19
Andaman and Nicobar Islands,35,20,17,16,15,2008-09,35
Chandigarh,4,30,35,36,31,2008-09,4
Dadra and Nagar Haveli and Daman and Diu,26,40.5,22,25,43,2008-09,26
Delhi,7,31,34,31,43,2008-09,7
Lakshadweep,31,31,13,15,28,2008-09,31
Puducherry,34,27,24,21,20,2008-09,34
Andhra Pradesh,28,34,29,27,32,2009-10,28
Arunachal Pradesh,12,27,21,23,22,2009-10,12
Assam,18,26,22,17,28,2009-10,18
Bihar,10,33,59,53,80,2009-10,10
Chhattisgarh,22,21,39,23,29,2009-10,22
Goa,30,20,18,29,26,2009-10,30
Gujarat,24,41,29,35,NA,2009-10,24
Haryana,6,25,26,41,52,2009-10,6
Himachal Pradesh,2,22,23,13,15,2009-10,2
Jammu and Kashmir,1,14,14,15,22,2009-10,1
Jharkhand,20,NA,NA,NA,NA,2009-10,20
Karnataka,29,37,24,29,18,2009-10,29
Kerala,32,37,27,26,24,2009-10,32
Madhya Pradesh,23,24,32,34,37,2009-10,23
Maharashtra,27,39,32,32,29,2009-10,27
Manipur,14,23,27,22,33,2009-10,14
Meghalaya,17,13,11,17,57,2009-10,17
Mizoram,15,14,13,9,18,2009-10,15
Nagaland,13,31,24,15,20,2009-10,13
Odisha,21,16,22,27,33,2009-10,21
Punjab,3,37,29,16,29,2009-10,3
Rajasthan,8,29,22,28,44,2009-10,8
Sikkim,11,15,8,15,14,2009-10,11
Tamil Nadu,33,43,38,35,31,2009-10,33
Tripura,16,26,25,16,25,2009-10,16
Uttar Pradesh,9,64,57,78,67,2009-10,9
Uttarakhand,5,15,18,27,24,2009-10,5
West Bengal,19,62,51,33,34,2009-10,19
Andaman and Nicobar Islands,35,19,16,14,14,2009-10,35
Chandigarh,4,26,38,45,23,2009-10,4
Dadra and Nagar Haveli and Daman and Diu,26,37,18.5,30,40,2009-10,26
Delhi,7,32,33,30,40,2009-10,7
Lakshadweep,31,33,12,14,27,2009-10,31
Puducherry,34,27,23,19,19,2009-10,34
Andhra Pradesh,28,32,26,25,31,2010-11,28
Arunachal Pradesh,12,27,21,24,22,2010-11,12
Assam,18,12,26,17,28,2010-11,18
Bihar,10,39,68,51,76,2010-11,10
Chhattisgarh,22,23,39,24,29,2010-11,22
Goa,30,21,19,31,25,2010-11,30
Gujarat,24,52,33,35,NA,2010-11,24
Haryana,6,29,26,38,51,2010-11,6
Himachal Pradesh,2,24,24,14,15,2010-11,2
Jammu and Kashmir,1,14,14,15,23,2010-11,1
Jharkhand,20,NA,NA,NA,NA,2010-11,20
Karnataka,29,37,21,27,17,2010-11,29
Kerala,32,26,25,25,23,2010-11,32
Madhya Pradesh,23,21,39,39,38,2010-11,23
Maharashtra,27,40,32,32,29,2010-11,27
Manipur,14,25,28,22,30,2010-11,14
Meghalaya,17,13,11,17,57,2010-11,17
Mizoram,15,15,13,9,20,2010-11,15
Nagaland,13,31,24,15,20,2010-11,13
Odisha,21,16,23,26,33,2010-11,21
Punjab,3,28,23,15,26,2010-11,3
Rajasthan,8,30,22,26,46,2010-11,8
Sikkim,11,16,10,16,14,2010-11,11
Tamil Nadu,33,42,35,32,27,2010-11,33
Tripura,16,21,21,16,15,2010-11,16
Uttar Pradesh,9,46,69,69,79,2010-11,9
Uttarakhand,5,15,17,27,24,2010-11,5
West Bengal,19,46,46,49,45,2010-11,19
Andaman and Nicobar Islands,35,19,15,13,13,2010-11,35
Chandigarh,4,37,42,73,45,2010-11,4
Dadra and Nagar Haveli and Daman and Diu,26,26.5,24,35.5,36,2010-11,26
Delhi,7,32,34,30,39,2010-11,7
Lakshadweep,31,31,11,17,23,2010-11,31
Puducherry,34,27,24,17,17,2010-11,34
Andhra Pradesh,28,28,26,22,30,2011-2012,28
Arunachal Pradesh,12,28,23,23,25,2011-2012,12
Assam,18,14,20,17,28,2011-2012,18
Bihar,10,45,71,47,82,2011-2012,10
Chhattisgarh,22,22,43,24,28,2011-2012,22
Goa,30,21,20,30,25,2011-2012,30
Gujarat,24,33,45,36,NA,2011-2012,24
Haryana,6,29,26,38,51,2011-2012,6
Himachal Pradesh,2,22,19,11,15,2011-2012,2
Jammu and Kashmir,1,14,14,15,22,2011-2012,1
Jharkhand,20,NA,NA,NA,NA,2011-2012,20
Karnataka,29,37,22,27,17,2011-2012,29
Kerala,32,26,24,25,22,2011-2012,32
Madhya Pradesh,23,23,39,39,38,2011-2012,23
Maharashtra,27,40,32,31,29,2011-2012,27
Manipur,14,22,19,29,25,2011-2012,14
Meghalaya,17,15,8,12,32,2011-2012,17
Mizoram,15,15,9,9,14,2011-2012,15
Nagaland,13,31,27,15,20,2011-2012,13
Odisha,21,17,25,26,32,2011-2012,21
Punjab,3,37,34,28,33,2011-2012,3
Rajasthan,8,28,22,25,48,2011-2012,8
Sikkim,11,17,15,10,7,2011-2012,11
Tamil Nadu,33,42,35,26,26,2011-2012,33
Tripura,16,26,20,15,15,2011-2012,16
Uttar Pradesh,9,45,69,43,73,2011-2012,9
Uttarakhand,5,21,16,28,23,2011-2012,5
West Bengal,19,53,113,255,30,2011-2012,19
Andaman and Nicobar Islands,35,19,14,13,14,2011-2012,35
Chandigarh,4,38,NA,30,31,2011-2012,4
Dadra and Nagar Haveli and Daman and Diu,26,38.5,23.5,35,37.5,2011-2012,26
Delhi,7,33,35,30,42,2011-2012,7
Lakshadweep,31,4,146,27,24,2011-2012,31
Puducherry,34,100,100,14,26,2011-2012,34
Andaman and Nicobar Islands,35,13,7,10,12,2021-2022,35
Andhra Pradesh,28,32,11,16,25,2021-2022,28
Arunachal Pradesh,12,20,11,9,12,2021-2022,12
Assam,18,21,11,14,21,2021-2022,18
Bihar,10,63,55,23,54,2021-2022,10
Chandigarh,4,27,12,16,28,2021-2022,4
Chhattisgarh,22,17,15,18,21,2021-2022,22
Dadra and Nagar Haveli and Daman and Diu,26,26,20,28,30,2021-2022,26
Delhi,7,22,28,33,34,2021-2022,7
Goa,30,19,9,16,26,2021-2022,30
Gujarat,24,28,29,25,30,2021-2022,24
Haryana,6,15,12,19,26,2021-2022,6
Himachal Pradesh,2,10,6,9,16,2021-2022,2
Jammu and Kashmir,1,28,13,10,15,2021-2022,1
Jharkhand,20,57,35,26,29,2021-2022,20
Karnataka,29,28,18,18,23,2021-2022,29
Kerala,32,22,15,21,27,2021-2022,32
Ladakh,19,13,6,4,8,2021-2022,19
Lakshadweep,31,12,7,14,16,2021-2022,31
Madhya Pradesh,23,30,23,18,25,2021-2022,23
Maharashtra,27,38,21,27,25,2021-2022,27
Manipur,14,16,9,11,13,2021-2022,14
Meghalaya,17,20,12,14,20,2021-2022,17
Mizoram,15,15,9,8,16,2021-2022,15
Nagaland,13,17,10,8,11,2021-2022,13
Odisha,21,36,18,15,17,2021-2022,21
Puducherry,34,16,10,14,18,2021-2022,34
Punjab,3,18,11,19,26,2021-2022,3
Rajasthan,8,18,11,13,26,2021-2022,8
Sikkim,11,11,9,8,7,2021-2022,11
Tamil Nadu,33,21,13,15,20,2021-2022,33
Telangana,0,29,10,13,21,2021-2022,0
Tripura,16,15,14,20,18,2021-2022,16
Uttar Pradesh,9,39,27,25,28,2021-2022,9
Uttarakhand,5,17,11,16,19,2021-2022,5
West Bengal,19,28,17,28,27,2021-2022,19
Ladakh,19,0,0,0,0,2008-09,19
Ladakh,19,0,0,0,0,2009-10,19
Ladakh,19,0,0,0,0,2010-11,19
Ladakh,19,0,0,0,0,2011-2012,19
Ladakh,19,0,0,0,0,2021-2022,19
Telangana,0,0,0,0,0,2008-09,0
Telangana,0,0,0,0,0,2009-10,0
Telangana,0,0,0,0,0,2010-11,0
Telangana,0,0,0,0,0,2011-2012,0
Telangana,0,0,0,0,0,2021-2022,0
