State/UT,Total Schools - All Management,Total Schools - Government.,Total Schools - Government. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools with Functional Laptop/Notebook Availability - All Management,Schools with Functional Laptop/Notebook Availability - Government.,Schools with Functional Laptop/Notebook Availability - Government. Aided,Schools with Functional Laptop/Notebook Availability - Pvt. Unaided,Schools with Functional Laptop/Notebook Availability - Others,Percentage of Schools with Functional Laptop/Notebook Availability - All Management,Percentage of Schools with Functional Laptop/Notebook Availability - Government.,Percentage of Schools with Functional Laptop/Notebook Availability - Government. Aided,Percentage of Schools with Functional Laptop/Notebook Availability - Pvt. Unaided,Percentage of Schools with Functional Laptop/Notebook Availability - Others,Category
Andaman and Nicobar Islands,416,342,2,72,0,33,9,0,24,0,7.9,2.6,0,33.3,0,Number of Schools having Functional LaptopNotebook 
Andhra Pradesh,61948,45137,1542,15058,211,9567,3144,92,6309,22,15.4,7,6,41.9,10.4,Number of Schools having Functional LaptopNotebook 
Arunachal Pradesh,3603,2985,68,503,47,446,139,40,248,19,12.4,4.7,58.8,49.3,40.4,Number of Schools having Functional LaptopNotebook 
Assam,60859,45490,3841,5852,5676,2634,1171,69,1362,32,4.3,2.6,1.8,23.3,0.6,Number of Schools having Functional LaptopNotebook 
Bihar,93165,75558,742,8097,8768,4812,302,27,2834,1649,5.2,0.4,3.6,35,18.8,Number of Schools having Functional LaptopNotebook 
Chandigarh,233,123,7,76,27,94,14,4,59,17,40.3,11.4,57.1,77.6,63,Number of Schools having Functional LaptopNotebook 
Chhattisgarh,56512,48743,417,7063,289,4815,2876,43,1886,10,8.5,5.9,10.3,26.7,3.5,Number of Schools having Functional LaptopNotebook 
Dadra and Nagar Haveli and Daman and Diu,460,388,8,63,1,100,49,6,44,1,21.7,12.6,75,69.8,100,Number of Schools having Functional LaptopNotebook 
Delhi,5619,2762,247,2610,0,2030,238,45,1747,0,36.1,8.6,18.2,66.9,0,Number of Schools having Functional LaptopNotebook 
Goa,1510,814,557,139,0,467,40,336,91,0,30.9,4.9,60.3,65.5,0,Number of Schools having Functional LaptopNotebook 
Gujarat,53851,34699,5590,13559,3,13957,7630,900,5427,0,25.9,22,16.1,40,0,Number of Schools having Functional LaptopNotebook 
Haryana,23726,14562,16,8261,887,5628,261,3,4966,398,23.7,1.8,18.8,60.1,44.9,Number of Schools having Functional LaptopNotebook 
Himachal Pradesh,18028,15380,0,2646,2,1288,145,0,1143,0,7.1,0.9,0,43.2,0,Number of Schools having Functional LaptopNotebook 
Jammu and Kashmir,28805,23173,1,5526,105,4061,1712,0,2323,26,14.1,7.4,0,42,24.8,Number of Schools having Functional LaptopNotebook 
Jharkhand,44855,35840,1175,1559,6281,3711,615,128,820,2148,8.3,1.7,10.9,52.6,34.2,Number of Schools having Functional LaptopNotebook 
Karnataka,76450,49679,7110,19650,11,14044,5484,1155,7402,3,18.4,11,16.2,37.7,27.3,Number of Schools having Functional LaptopNotebook 
Kerala,16240,5010,7183,3164,883,14458,4676,6968,2298,516,89,93.3,97,72.6,58.4,Number of Schools having Functional LaptopNotebook 
Ladakh,978,838,28,112,0,164,124,2,38,0,16.8,14.8,7.1,33.9,0,Number of Schools having Functional LaptopNotebook 
Lakshadweep,38,38,0,0,0,28,28,0,0,0,73.7,73.7,0,0,0,Number of Schools having Functional LaptopNotebook 
Madhya Pradesh,125582,92695,740,30345,1802,12801,2761,69,9841,130,10.2,3,9.3,32.4,7.2,Number of Schools having Functional LaptopNotebook 
Maharashtra,109605,65639,24037,19268,661,22516,5482,6718,10031,285,20.5,8.4,28,52.1,43.1,Number of Schools having Functional LaptopNotebook 
Manipur,4617,2889,583,1010,135,662,73,12,543,34,14.3,2.5,2.1,53.8,25.2,Number of Schools having Functional LaptopNotebook 
Meghalaya,14600,7783,4172,2120,525,396,59,136,161,40,2.7,0.8,3.3,7.6,7.6,Number of Schools having Functional LaptopNotebook 
Mizoram,3911,2563,230,1034,84,221,77,17,117,10,5.7,3,7.4,11.3,11.9,Number of Schools having Functional LaptopNotebook 
Nagaland,2718,1960,0,757,1,410,70,0,340,0,15.1,3.6,0,44.9,0,Number of Schools having Functional LaptopNotebook 
Odisha,62291,49072,5807,6104,1308,2798,488,332,1695,283,4.5,1,5.7,27.8,21.6,Number of Schools having Functional LaptopNotebook 
Puducherry,736,422,33,281,0,217,60,17,140,0,29.5,14.2,51.5,49.8,0,Number of Schools having Functional LaptopNotebook 
Punjab,27701,19259,450,7978,14,6390,1809,50,4527,4,23.1,9.4,11.1,56.7,28.6,Number of Schools having Functional LaptopNotebook 
Rajasthan,106373,68948,0,34826,2599,21740,10190,0,11520,30,20.4,14.8,0,33.1,1.2,Number of Schools having Functional LaptopNotebook 
Sikkim,1259,864,19,376,0,765,574,4,187,0,60.8,66.4,21.1,49.7,0,Number of Schools having Functional LaptopNotebook 
Tamil Nadu,58801,37636,8323,12396,446,8185,30,1638,6312,205,13.9,0.1,19.7,50.9,46,Number of Schools having Functional LaptopNotebook 
Telangana,43083,30023,700,12193,167,2396,341,28,2025,2,5.6,1.1,4,16.6,1.2,Number of Schools having Functional LaptopNotebook 
Tripura,4929,4262,43,363,261,780,639,12,119,10,15.8,15,27.9,32.8,3.8,Number of Schools having Functional LaptopNotebook 
Uttar Pradesh,258054,137024,8113,97808,15109,21913,1701,763,18356,1093,8.5,1.2,9.4,18.8,7.2,Number of Schools having Functional LaptopNotebook 
Uttarakhand,22815,16484,608,5225,498,2739,519,74,2075,71,12,3.2,12.2,39.7,14.3,Number of Schools having Functional LaptopNotebook 
West Bengal,94744,83302,88,9750,1604,4180,2516,18,1505,141,4.4,3,20.5,15.4,8.8,Number of Schools having Functional LaptopNotebook 
INDIA,1489115,1022386,82480,335844,48405,191446,56046,19706,108515,7179,12.9,5.5,23.9,32.3,14.8,Number of Schools having Functional LaptopNotebook 
