State/UT,Total Schools - All Management,Total Schools - Government.,Total Schools - Government. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools having PCs - All Management,Schools having PCs - Government.,Schools having PCs - Government. Aided,Schools having PCs - Pvt. Unaided,Schools having PCs - Others,Category
Andaman and Nicobar Islands,416,342,2,72,0,58,37,0,21,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Andhra Pradesh,61948,45137,1542,15058,211,5432,1153,62,4197,20, Schools having PCs with Functional Integrated Teaching Learning Devices 
Arunachal Pradesh,3603,2985,68,503,47,234,120,7,102,5, Schools having PCs with Functional Integrated Teaching Learning Devices 
Assam,60859,45490,3841,5852,5676,1015,557,10,441,7, Schools having PCs with Functional Integrated Teaching Learning Devices 
Bihar,93165,75558,742,8097,8768,1723,180,11,1055,477, Schools having PCs with Functional Integrated Teaching Learning Devices 
Chandigarh,233,123,7,76,27,93,42,3,40,8, Schools having PCs with Functional Integrated Teaching Learning Devices 
Chhattisgarh,56512,48743,417,7063,289,1507,733,12,758,4, Schools having PCs with Functional Integrated Teaching Learning Devices 
Dadra and Nagar Haveli and Daman and Diu,460,388,8,63,1,51,21,3,27,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Delhi,5619,2762,247,2610,0,1988,789,55,1144,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Goa,1510,814,557,139,0,155,18,109,28,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Gujarat,53851,34699,5590,13559,3,12196,5067,1911,5218,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Haryana,23726,14562,16,8261,887,2734,687,2,1945,100, Schools having PCs with Functional Integrated Teaching Learning Devices 
Himachal Pradesh,18028,15380,0,2646,2,1339,781,0,558,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Jammu and Kashmir,28805,23173,1,5526,105,1343,632,0,707,4, Schools having PCs with Functional Integrated Teaching Learning Devices 
Jharkhand,44855,35840,1175,1559,6281,1302,553,27,341,381, Schools having PCs with Functional Integrated Teaching Learning Devices 
Karnataka,76450,49679,7110,19650,11,6405,1496,582,4327,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Kerala,16240,5010,7183,3164,883,2111,418,544,1014,135, Schools having PCs with Functional Integrated Teaching Learning Devices 
Ladakh,978,838,28,112,0,65,44,0,21,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Lakshadweep,38,38,0,0,0,10,10,0,0,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Madhya Pradesh,125582,92695,740,30345,1802,3631,505,28,3043,55, Schools having PCs with Functional Integrated Teaching Learning Devices 
Maharashtra,109605,65639,24037,19268,661,15307,3833,5568,5785,121, Schools having PCs with Functional Integrated Teaching Learning Devices 
Manipur,4617,2889,583,1010,135,208,29,2,171,6, Schools having PCs with Functional Integrated Teaching Learning Devices 
Meghalaya,14600,7783,4172,2120,525,273,60,123,71,19, Schools having PCs with Functional Integrated Teaching Learning Devices 
Mizoram,3911,2563,230,1034,84,86,47,14,23,2, Schools having PCs with Functional Integrated Teaching Learning Devices 
Nagaland,2718,1960,0,757,1,164,48,0,116,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Odisha,62291,49072,5807,6104,1308,2087,805,152,968,162, Schools having PCs with Functional Integrated Teaching Learning Devices 
Puducherry,736,422,33,281,0,168,63,10,95,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Punjab,27701,19259,450,7978,14,5843,3678,38,2126,1, Schools having PCs with Functional Integrated Teaching Learning Devices 
Rajasthan,106373,68948,0,34826,2599,6333,2151,0,4144,38, Schools having PCs with Functional Integrated Teaching Learning Devices 
Sikkim,1259,864,19,376,0,235,158,2,75,0, Schools having PCs with Functional Integrated Teaching Learning Devices 
Tamil Nadu,58801,37636,8323,12396,446,9635,4441,788,4297,109, Schools having PCs with Functional Integrated Teaching Learning Devices 
Telangana,43083,30023,700,12193,167,5045,4159,25,859,2, Schools having PCs with Functional Integrated Teaching Learning Devices 
Tripura,4929,4262,43,363,261,138,71,3,59,5, Schools having PCs with Functional Integrated Teaching Learning Devices 
Uttar Pradesh,258054,137024,8113,97808,15109,5662,478,195,4896,93, Schools having PCs with Functional Integrated Teaching Learning Devices 
Uttarakhand,22815,16484,608,5225,498,1141,326,21,786,8, Schools having PCs with Functional Integrated Teaching Learning Devices 
West Bengal,94744,83302,88,9750,1604,3847,2922,11,858,56, Schools having PCs with Functional Integrated Teaching Learning Devices 
INDIA,1489115,1022386,82480,335844,48405,99564,37112,10318,50316,1818, Schools having PCs with Functional Integrated Teaching Learning Devices 
