State/UT,Schools with Peer Learning - Primary,Schools with Peer Learning  - Upper Primary,Schools with Peer Learning  - Secondary,Schools with Peer Learning  - Higher Secondary,Category
Andaman and Nicobar Islands,84.3,89.5,87,75,Peer Learning Percentage
Andhra Pradesh,83.1,77.1,81,57.5,Peer Learning Percentage
Arunachal Pradesh,19.8,25.4,44,41.8,Peer Learning Percentage
Assam,65.9,53.1,54.3,43.9,Peer Learning Percentage
Bihar,19.7,22.8,22.5,16.8,Peer Learning Percentage
Chandigarh,87.5,100,98.2,96.4,Peer Learning Percentage
Chhattisgarh,67.3,67.1,61.2,56.1,Peer Learning Percentage
Dadra and Nagar Haveli and Daman and Diu,97,95.1,87.1,80,Peer Learning Percentage
Delhi,79.2,71.8,79.5,80.4,Peer Learning Percentage
Goa,90.3,67.2,57.8,41.3,Peer Learning Percentage
Gujarat,75.3,75.5,34,30.2,Peer Learning Percentage
Haryana,71.3,67.1,64.9,63.9,Peer Learning Percentage
Himachal Pradesh,62.6,62.6,67.8,61,Peer Learning Percentage
Jammu and Kashmir,50,59.2,59,51,Peer Learning Percentage
Jharkhand,43.1,48.8,50.6,42.6,Peer Learning Percentage
Karnataka,60.6,61.1,54.7,33.5,Peer Learning Percentage
Kerala,82.6,83.3,83.4,81.6,Peer Learning Percentage
Ladakh,32.1,40.3,50.6,72.7,Peer Learning Percentage
Lakshadweep,100,100,0,84.6,Peer Learning Percentage
Madhya Pradesh,42.2,45.1,51.8,48.8,Peer Learning Percentage
Maharashtra,48.4,48.1,38.5,35.4,Peer Learning Percentage
Manipur,15.9,18.4,25,43.3,Peer Learning Percentage
Meghalaya,10.5,16.5,23.2,28.7,Peer Learning Percentage
Mizoram,3.7,4.3,5,12.9,Peer Learning Percentage
Nagaland,26.4,27.9,32.9,33.9,Peer Learning Percentage
Odisha,68.5,70.2,59.8,29.6,Peer Learning Percentage
Puducherry,94.1,91.7,74.7,78.8,Peer Learning Percentage
Punjab,88.2,83.6,77.6,75.1,Peer Learning Percentage
Rajasthan,45.9,52.2,51.7,52.3,Peer Learning Percentage
Sikkim,46.6,53.8,68,63.5,Peer Learning Percentage
Tamil Nadu,0,0,0,0,Peer Learning Percentage
Telangana,51.6,54,54.5,33.3,Peer Learning Percentage
Tripura,39.6,45.8,57.8,52.7,Peer Learning Percentage
Uttar Pradesh,58.3,53.7,27.9,25.5,Peer Learning Percentage
Uttarakhand,57.8,54,55.9,57.2,Peer Learning Percentage
West Bengal,51.2,39.8,53.4,50.4,Peer Learning Percentage
INDIA,51.9,51.8,50.4,42.2,Peer Learning Percentage
