State/UT,Total Schools - All Management,Total Schools - Government.,Total Schools - Government. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools with Computer Facility - All Management,Schools with Computer Facility - Government.,Schools with Computer Facility - Government. Aided,Schools with Computer Facility - Pvt. Unaided,Schools with Computer Facility - Others,Category
Andaman and Nicobar Islands,416,342,2,72,0,278,206,2,70,0,Number of Schools by Management and Availability of Computer Facility
Andhra Pradesh,61948,45137,1542,15058,211,31981,16899,519,14429,134,Number of Schools by Management and Availability of Computer Facility
Arunachal Pradesh,3603,2985,68,503,47,1226,678,65,449,34,Number of Schools by Management and Availability of Computer Facility
Assam,60859,45490,3841,5852,5676,11478,7771,324,3239,144,Number of Schools by Management and Availability of Computer Facility
Bihar,93165,75558,742,8097,8768,17569,6811,159,5771,4828,Number of Schools by Management and Availability of Computer Facility
Chandigarh,233,123,7,76,27,233,123,7,76,27,Number of Schools by Management and Availability of Computer Facility
Chhattisgarh,56512,48743,417,7063,289,50519,44767,220,5410,122,Number of Schools by Management and Availability of Computer Facility
Dadra and Nagar Haveli and Daman and Diu,460,388,8,63,1,410,341,8,60,1,Number of Schools by Management and Availability of Computer Facility
Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0,Number of Schools by Management and Availability of Computer Facility
Goa,1510,814,557,139,0,835,177,525,133,0,Number of Schools by Management and Availability of Computer Facility
Gujarat,53851,34699,5590,13559,3,52781,34131,5548,13099,3,Number of Schools by Management and Availability of Computer Facility
Haryana,23726,14562,16,8261,887,22107,13486,14,7866,741,Number of Schools by Management and Availability of Computer Facility
Himachal Pradesh,18028,15380,0,2646,2,7310,4815,0,2495,0,Number of Schools by Management and Availability of Computer Facility
Jammu and Kashmir,28805,23173,1,5526,105,9631,5247,1,4314,69,Number of Schools by Management and Availability of Computer Facility
Jharkhand,44855,35840,1175,1559,6281,38224,31896,441,1412,4475,Number of Schools by Management and Availability of Computer Facility
Karnataka,76450,49679,7110,19650,11,43142,20204,5547,17382,9,Number of Schools by Management and Availability of Computer Facility
Kerala,16240,5010,7183,3164,883,15970,4821,7179,3120,850,Number of Schools by Management and Availability of Computer Facility
Ladakh,978,838,28,112,0,452,344,10,98,0,Number of Schools by Management and Availability of Computer Facility
Lakshadweep,38,38,0,0,0,38,38,0,0,0,Number of Schools by Management and Availability of Computer Facility
Madhya Pradesh,125582,92695,740,30345,1802,32645,11534,296,20357,458,Number of Schools by Management and Availability of Computer Facility
Maharashtra,109605,65639,24037,19268,661,89257,47447,22446,18749,615,Number of Schools by Management and Availability of Computer Facility
Manipur,4617,2889,583,1010,135,1708,622,50,941,95,Number of Schools by Management and Availability of Computer Facility
Meghalaya,14600,7783,4172,2120,525,2673,874,974,668,157,Number of Schools by Management and Availability of Computer Facility
Mizoram,3911,2563,230,1034,84,2092,1106,188,739,59,Number of Schools by Management and Availability of Computer Facility
Nagaland,2718,1960,0,757,1,1559,894,0,664,1,Number of Schools by Management and Availability of Computer Facility
Odisha,62291,49072,5807,6104,1308,16464,8990,1950,4729,795,Number of Schools by Management and Availability of Computer Facility
Puducherry,736,422,33,281,0,733,419,33,281,0,Number of Schools by Management and Availability of Computer Facility
Punjab,27701,19259,450,7978,14,27581,19250,416,7906,9,Number of Schools by Management and Availability of Computer Facility
Rajasthan,106373,68948,0,34826,2599,55321,25433,0,28979,909,Number of Schools by Management and Availability of Computer Facility
Sikkim,1259,864,19,376,0,1132,761,14,357,0,Number of Schools by Management and Availability of Computer Facility
Tamil Nadu,58801,37636,8323,12396,446,46092,30471,3976,11292,353,Number of Schools by Management and Availability of Computer Facility
Telangana,43083,30023,700,12193,167,18483,8296,263,9890,34,Number of Schools by Management and Availability of Computer Facility
Tripura,4929,4262,43,363,261,1607,1228,32,295,52,Number of Schools by Management and Availability of Computer Facility
Uttar Pradesh,258054,137024,8113,97808,15109,69635,11135,4529,50110,3861,Number of Schools by Management and Availability of Computer Facility
Uttarakhand,22815,16484,608,5225,498,13292,8106,469,4456,261,Number of Schools by Management and Availability of Computer Facility
West Bengal,94744,83302,88,9750,1604,17421,13341,54,3572,454,Number of Schools by Management and Availability of Computer Facility
INDIA,1489115,1022386,82480,335844,48405,707498,385424,56506,246018,19550,Number of Schools by Management and Availability of Computer Facility
