S. No.,Duration,Total Quarterly Usage - Current (PB),Per Subscriber per Month - Current (MB),Tariff per GB - Current (Rs.)
1,Qtr-1 (2017-18),4206.415,1248.000,17.430
2,Qtr-2 (2017-18),5430.046,1600.000,21.220
3,Qtr-3 (2017-18),6521.893,1945.000,18.850
4,Qtr-4 (2017-18),8067.633,2437.000,14.940
5,Qtr-1 (2018-19),10418.076,3206.000,12.060
6,Qtr-2 (2018-19),12549.891,8320.000,10.910
7,Qtr-3 (2018-19),14253.256,8740.000,10.520
8,Qtr-4 (2018-19),15850.560,9060.000,7.950
9,Qtr-1 (2019-20),17940.576,9770.000,7.700
10,Qtr-2 (2019-20),20315.000,10370.000,6.980
11,Qtr-3 (2019-20),21402.000,10400.000,8.450
12,Qtr-4 (2019-20),23403.000,11000.000,11.230
13,Qtr-1 (2020-21),25979.000,12150.000,10.550
14,Qtr-2 (2020-21),25227.000,11960.000,10.950
15,Qtr-3 (2020-21),26405.000,12130.000,11.010
16,Qtr-4 (2020-21),27799.000,12330.000,10.770
17,Qtr-1 (2021-22),32397.000,14100.000,9.800
18,Qtr-2 (2021-22),34568.000,14730.000,9.530
19,Qtr-3 (2021-22),34608.000,14970.000,9.910
20,Qtr-4 (2021-22),35885.000,15800.000,10.470
21,Qtr-1 (2022-23),37626.000,16400.000,10.290
22,Qtr-2 (2022-23),40126.000,17180.000,9.940
23,Qtr-3 (2022-23),40512.000,17110.000,10.100
