Sl. No.,State/UTs,2019-20 - Number of Teachers Posts vacant,2019-20 - % of Teachers Posts Vacant,2020-21 - Number of Teachers Posts vacant,2020-21 - % of Teachers Posts Vacant,2021-22 - Number of Teachers Posts vacant,2021-22 - % of Teachers Posts Vacant
1,Andaman and Nicobar Islands,809,18.4,825,18.76,1116,25.55
2,Andhra Pradesh,56739,23.68,35358,14.01,50677,19.64
3,Arunachal Pradesh,502,2.96,556,2.96,492,2.58
4,Assam,30733,12.53,13247,5.12,15050,5.84
5,Bihar,271207,38.33,279088,40.32,253890,39.4
6,Chandigarh,834,13.87,874,14.87,1256,21.44
7,Chhattisgarh,73542,29.06,66541,26.09,64824,22.27
8,Dadra Nagar Haveli and Daman and Diu,546,16.65,515,15.71,451,13.56
9,Delhi,14408,18.81,7541,9.01,6247,8.28
10,Goa,42,1.08,572,19.51,202,7.4
11,Gujarat,5709,2.56,6393,2.88,14767,5.84
12,Haryana,9643,9.3,11950,10.9,13563,12.3
13,Himachal Pradesh,1843,3.02,6519,8.61,2120,2.89
14,Jammu and Kashmir,14641,11.16,22068,16.39,24905,18.56
15,Jharkhand,87117,37.33,98190,40.49,91934,42.05
16,Karnataka,22200,8.46,34079,14.62,141358,57.57
17,Kerala,5804,3.55,1926,2.79,1815,2.63
18,Ladakh,0,0,221,3.53,486,8.44
19,Lakshadweep,59,7.95,83,10.11,125,13.59
20,Madhya Pradesh,103722,23.04,100134,20.73,98562,20.47
21,Maharashtra,26200,7.79,4359,1.29,11723,3.88
22,Manipur,1724,8.24,2806,14.02,2437,11.35
23,Meghalaya,1906,7.37,1,0,104,0.5
24,Mizoram,110,2.32,2,0.02,0,0
25,Nagaland,643,3.15,309,1.56,87,0.44
26,Odisha,8285,3.09,15071,5.49,3614,1.35
27,Puducherry,1280,18.95,1353,24.65,2138,39.94
28,Punjab,3390,2.8,3429,2.5,1207,0.88
29,Rajasthan,111092,23.88,49914,11.8,35996,8.11
30,Sikkim,357,3.5,5334,57.19,0,0
31,Tamil Nadu,5155,2.08,3419,1.51,8038,2.79
32,Telangana,17686,12.73,20024,13.66,18588,12.32
33,Tripura,5652,12.19,1718,4.48,9307,22.28
34,Uttar Pradesh,502045,55.04,219386,29.02,298490,39.13
35,Uttarakhand,16076,20.01,20082,25.44,21390,33.4
36,West Bengal,70412,13.46,75599,11.7,57814,8.53
