State/UTs,2019-20 - % of Teachers Posts Vacant,2020-21 - % of Teachers Posts Vacant,2021-22 - % of Teachers Posts Vacant
Andaman and Nicobar Islands,18.4,18.76,25.55
Andhra Pradesh,23.68,14.01,19.64
Arunachal Pradesh,2.96,2.96,2.58
Assam,12.53,5.12,5.84
Bihar,38.33,40.32,39.4
Chandigarh,13.87,14.87,21.44
Chhattisgarh,29.06,26.09,22.27
Dadra Nagar Haveli and Daman and Diu,16.65,15.71,13.56
Delhi,18.81,9.01,8.28
Goa,1.08,19.51,7.4
Gujarat,2.56,2.88,5.84
Haryana,9.3,10.9,12.3
Himachal Pradesh,3.02,8.61,2.89
Jammu and Kashmir,11.16,16.39,18.56
Jharkhand,37.33,40.49,42.05
Karnataka,8.46,14.62,57.57
Kerala,3.55,2.79,2.63
Ladakh,0,3.53,8.44
Lakshadweep,7.95,10.11,13.59
Madhya Pradesh,23.04,20.73,20.47
Maharashtra,7.79,1.29,3.88
Manipur,8.24,14.02,11.35
Meghalaya,7.37,0,0.5
Mizoram,2.32,0.02,0
Nagaland,3.15,1.56,0.44
Odisha,3.09,5.49,1.35
Puducherry,18.95,24.65,39.94
Punjab,2.8,2.5,0.88
Rajasthan,23.88,11.8,8.11
Sikkim,3.5,57.19,0
Tamil Nadu,2.08,1.51,2.79
Telangana,12.73,13.66,12.32
Tripura,12.19,4.48,22.28
Uttar Pradesh,55.04,29.02,39.13
Uttarakhand,20.01,25.44,33.4
West Bengal,13.46,11.7,8.53
India,13.29,13.94,14.87
