Sl. No.,Name of the State,Name of the University,Adhoc,Guest Faculty,Contract basis,Re-employed,Sanctioned Posts,Total Number of Teachers appointed from 01.04.2017 to 31.12.2021,No. of Vacancies - (As on 01.10.2021) - Teaching Posts,No. of filled up posts during 2021-22 - (From 01.04.2021 to 30.09.2021) - Teaching Posts
1,Andhra Pradesh,Central University of Andhra Pradesh,0,15,2,1,0,0,0,0
2,Andhra Pradesh,Central Tribal University of Andhra Pradesh,0,33,1,0,0,0,0,0
3,Andhra Pradesh,National Sanskrit University,0,44,0,0,109,47,3,2
4,Bihar,Central University of South Bihar,0,0,1,1,214,83,58,0
5,Bihar,Mahatma Gandhi Central University,0,6,0,0,140,63,23,0
6,Chhattisgarh,Guru Ghasidas Vishwavidyalaya,0,0,113,0,435,117,124,0
7,Delhi,University of Delhi,58,213,0,0,1706,188,859,0
8,Delhi,Jamia Millia Islamia,0,43,32,0,859,80,211,0
9,Delhi,Jawaharlal Nehru University,0,18,1,1,926,123,317,0
10,Delhi,Shri Lal Bahadur Shastri National Sanskrit University,0,25,0,0,139,27,35,0
11,Delhi,Central Sanskrit University,0,112,67,0,256,103,16,0
12,Gujarat,Central University of Gujarat,0,1,4,2,162,24,68,1
13,Haryana,Central University of Haryana,0,29,38,0,266,100,129,0
14,Himachal Pradesh,Central University of Himachal Pradesh,0,0,0,0,220,65,97,0
15,Jammu and Kashmir,Central University of Jammu,0,49,0,0,157,22,58,0
16,Jammu and Kashmir,Central University of Kashmir,0,23,84,1,195,34,115,0
17,Jharkhand,Central University of Jharkhand,0,0,32,0,179,47,61,0
18,Karnataka,Central University of Karnataka,0,21,53,0,206,70,91,0
19,Kerala,Central University of Kerala,0,40,6,0,192,4,81,0
20,Madhya Pradesh,Dr. Harisingh Gour Vishwavidyalaya,0,85,0,1,413,0,230,0
21,Madhya Pradesh,Indira Gandhi National Tribal University,0,16,0,2,266,96,80,2
22,Maharashtra,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,0,0,0,0,128,42,18,0
23,Odisha,Central University of Odisha,0,22,26,0,154,0,137,0
24,Punjab,Central University of Punjab,0,1,5,0,217,105,89,0
25,Puducherry,Pondicherry University,0,0,0,0,502,43,199,0
26,Rajasthan,Central University of Rajasthan,0,0,9,0,248,55,100,0
27,Tamil Nadu,Central University of Tamil Nadu,0,23,2,0,208,116,50,0
28,Telangana,Maulana Azad National Urdu University,0,70,22,0,432,94,86,0
29,Telangana,University of Hyderabad,2,44,0,3,572,91,153,0
30,Telangana,The English & Foreign Languages University,0,28,0,0,238,22,58,20
31,Uttarakhand,Hemvati Nandan Bahuguna Garhwal University,10,83,0,0,484,93,230,47
32,Uttar Pradesh,Aligarh Muslim University,0,52,161,1,1716,212,359,0
33,Uttar Pradesh,Banaras Hindu University,0,20,63,8,2108,677,499,202
34,Uttar Pradesh,Babasaheb Bhimrao Ambedkar University,0,0,0,1,215,73,31,3
35,Uttar Pradesh,University of Allahabad,0,191,0,0,863,55,611,0
36,West Bengal,Visva Bharati,0,49,0,0,665,50,191,14
37,Assam,Assam University,0,22,0,0,454,76,78,13
38,Assam,Tezpur University,0,50,0,0,312,62,51,0
39,Arunachal Pradesh,Rajiv Gandhi University,0,61,0,0,276,37,89,29
40,Manipur,Manipur University,0,138,2,0,371,97,119,0
41,Meghalaya,North Eastern Hill University,0,48,0,0,467,0,175,0
42,Mizoram,Mizoram University,0,54,1,0,434,128,58,35
43,Nagaland,Nagaland University,0,36,1,0,270,32,80,0
44,Sikkim,Sikkim University,0,36,7,7,229,44,73,0
45,Tripura,Tripura University,0,27,4,0,302,10,143,0
46,Delhi,Indira Gandhi National Open Niversity (IGNOU) (as on 01.08.2021),0,0,0,0,444,0,148,65
Total,Total,Total,70,1828,737,29,19349,3507,6481,433
