Sl. No.,No. of Teacher/ Teacher Educators/Students trained in different Training Programmes,2019-20,2020-21,2021-22
1,Orientation Course,509,NA,497
2,Thematic Workshops,1265,NA,777
3,Refresher Course (OC),92,NA,68
4,Refresher Course (Puppetry),122,NA,94
5,DRP Scheme,41,38,38
6,Teachers trained through DRP,1317,NA,NA
7,Online Digitally Interactive Cultural Education Programme,NA,2501,1920
8,Training in Blended method for CCRT DRPs,NA,25,NA
9,Short Term Programme,NA,NA,95
10,Extension Services & Community Feedback Programme (Students),21992,2632,15303
11,Cultural Clubs opened,99,NA,2
