state,consumption
Andaman & Nicobar,25.4
Andhra Pradesh,13.7
Arunachal Pradesh,28
Assam,8.8
Bihar,7.9
Chandigarh,17.5
Chhattisgarh,35.6
Dadra and Nagar Haveli and Daman and Diu,15
Delhi,21.3
Goa,26.4
Gujarat,3.9
Haryana,21.6
Himachal Pradesh,8.9
Jammu & Kashmir,3.5
Jharkhand,6.5
Karnataka,6.4
Kerala,12.4
Ladakh,27.4
Madhya Pradesh,17.7
Maharashtra,5.7
Manipur,22.4
Meghalaya,3.4
Mizoram,7.8
Nagaland,8.1
Odisha,16.4
Puducherry,9.5
Punjab,28.5
Rajasthan,2.1
Sikkim,15.7
Tamil Nadu,14.2
Telangana,16.8
Tripura,34.7
Uttarakhand,18.8
Uttar Pradesh,23.8
West Bengal,16.7
